,FIPS_Code,State,Year,Month,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
144,16,Idaho,2010,1,1157503,762726,65.9,693074,59.9,69652,9.1,1570746.0,57952.9,0
145,16,Idaho,2010,2,1158417,763525,65.9,694203,59.9,69322,9.1,1570746.0,57952.9,0
146,16,Idaho,2010,3,1159426,763983,65.9,695240,60.0,68743,9.0,1570746.0,57952.9,0
147,16,Idaho,2010,4,1163327,764012,65.7,696013,59.8,67999,8.9,1570746.0,57952.9,0
148,16,Idaho,2010,5,1164326,763624,65.6,696473,59.8,67151,8.8,1570746.0,57952.9,0
149,16,Idaho,2010,6,1165402,762884,65.5,696497,59.8,66387,8.7,1570746.0,57952.9,0
150,16,Idaho,2010,7,1166472,761967,65.3,696118,59.7,65849,8.6,1570746.0,57952.9,0
151,16,Idaho,2010,8,1167725,761137,65.2,695586,59.6,65551,8.6,1570746.0,57952.9,0
152,16,Idaho,2010,9,1168906,760571,65.1,695155,59.5,65416,8.6,1570746.0,57952.9,0
153,16,Idaho,2010,10,1170177,760364,65.0,695058,59.4,65306,8.6,1570746.0,57952.9,0
154,16,Idaho,2010,11,1171219,760441,64.9,695300,59.4,65141,8.6,1570746.0,57952.9,0
155,16,Idaho,2010,12,1172254,760670,64.9,695790,59.4,64880,8.5,1570746.0,57952.9,0
180,19,Iowa,2010,1,2341680,1668161,71.2,1560395,66.6,107766,6.5,3050745.0,150099.2,0
181,19,Iowa,2010,2,2342488,1671781,71.4,1564951,66.8,106830,6.4,3050745.0,150099.2,0
182,19,Iowa,2010,3,2343400,1675368,71.5,1570007,67.0,105361,6.3,3050745.0,150099.2,0
183,19,Iowa,2010,4,2358250,1677557,71.1,1573836,66.7,103721,6.2,3050745.0,150099.2,0
184,19,Iowa,2010,5,2359389,1677764,71.1,1575622,66.8,102142,6.1,3050745.0,150099.2,0
185,19,Iowa,2010,6,2360458,1676132,71.0,1575290,66.7,100842,6.0,3050745.0,150099.2,0
186,19,Iowa,2010,7,2361712,1673866,70.9,1573698,66.6,100168,6.0,3050745.0,150099.2,0
187,19,Iowa,2010,8,2363261,1672341,70.8,1572218,66.5,100123,6.0,3050745.0,150099.2,0
