,State,Year,FIPS_Code,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate,Population,gdp,treatment
120,Idaho,2010,16.0,1165429.5,762158.6666666665,65.40833333333333,695375.5833333335,59.68333333333333,66783.08333333331,8.758333333333333,1570746.0,57952.9,0
121,Idaho,2011,16.0,1179092.416666667,764066.9166666665,64.8,701595.75,59.50833333333333,62471.16666666666,8.166666666666666,1583910.0,57825.3,0
122,Idaho,2012,16.0,1193210.916666667,772073.3333333335,64.70833333333333,715011.5833333335,59.90833333333333,57061.75,7.399999999999999,1595324.0,57780.1,0
123,Idaho,2013,16.0,1208620.833333333,777682.75,64.35,724710.75,59.96666666666667,52972.0,6.816666666666666,1611206.0,59966.8,0
124,Idaho,2014,16.0,1226459.333333333,777061.5,63.35833333333333,742988.1666666665,60.575,34073.333333333336,4.383333333333333,1631112.0,61663.2,0
125,Idaho,2015,16.0,1246557.833333333,794897.3333333335,63.78333333333331,764106.8333333335,61.29999999999998,30790.5,3.866666666666666,1651059.0,63235.7,0
126,Idaho,2016,16.0,1274369.5,813091.1666666665,63.80833333333334,783240.5,61.45833333333332,29850.66666666667,3.675,1682380.0,65643.2,0
127,Idaho,2017,16.0,1305332.083333333,833816.5833333335,63.875,807516.9166666665,61.86666666666667,26299.66666666667,3.1583333333333337,1717715.0,68412.2,0
128,Idaho,2018,16.0,1336010.583333333,855275.6666666665,64.01666666666667,831154.25,62.225000000000016,24121.41666666667,2.8166666666666664,1750536.0,72455.4,0
129,Idaho,2019,16.0,1370018.166666667,879431.1666666665,64.18333333333332,855214.8333333335,62.425,24216.33333333333,2.7583333333333333,1787065.0,74937.1,0
150,Iowa,2010,19.0,2358177.0,1674190.666666667,71.0,1571900.5,66.64999999999999,102290.16666666669,6.116666666666667,3050745.0,150099.2,0
151,Iowa,2011,19.0,2375851.333333333,1670116.333333333,70.3,1575940.75,66.33333333333336,94175.58333333331,5.650000000000001,3066336.0,152153.2,0
152,Iowa,2012,19.0,2389698.083333333,1660358.333333333,69.49166666666666,1576257.25,65.94999999999999,84101.08333333331,5.058333333333334,3076190.0,157838.6,0
153,Iowa,2013,19.0,2405162.5,1676882.25,69.725,1597567.416666667,66.425,79314.83333333331,4.7250000000000005,3092997.0,157902.5,0
154,Iowa,2014,19.0,2420070.416666666,1699027.75,70.20833333333331,1627046.833333333,67.225,71980.91666666669,4.2250000000000005,3109350.0,165641.4,0
155,Iowa,2015,19.0,2431479.5,1700631.416666667,69.93333333333334,1637625.083333333,67.35000000000001,63006.33333333334,3.691666666666667,3120960.0,170545.9,0
156,Iowa,2016,19.0,2442455.916666666,1703087.583333333,69.71666666666667,1641910.583333333,67.23333333333333,61177.0,3.575,3131371.0,169488.8,0
157,Iowa,2017,19.0,2452634.833333333,1686578.666666667,68.78333333333335,1634396.75,66.64166666666667,52181.91666666666,3.083333333333333,3141550.0,168976.5,0
158,Iowa,2018,19.0,2460389.25,1701548.75,69.15833333333333,1657315.833333333,67.35833333333333,44232.91666666666,2.6,3148618.0,172844.7,0
159,Iowa,2019,19.0,2471395.5,1733664.25,70.14999999999999,1685761.5,68.20833333333333,47902.75,2.75,3155070.0,173515.4,0
160,Kansas,2010,20.0,2148694.5,1500469.583333333,69.825,1396262.666666667,64.98333333333332,104206.91666666669,6.933333333333333,2858190.0,135182.0,0
161,Kansas,2011,20.0,2161751.75,1497807.0,69.28333333333335,1402091.0,64.85833333333333,95716.0,6.383333333333333,2869225.0,138782.0,0
162,Kansas,2012,20.0,2174286.833333333,1490938.333333333,68.575,1405657.416666667,64.65833333333335,85280.91666666669,5.716666666666668,2885257.0,140764.1,0
163,Kansas,2013,20.0,2183614.25,1489830.416666667,68.22500000000001,1410945.583333333,64.61666666666667,78884.83333333331,5.3,2893212.0,140355.8,0
164,Kansas,2014,20.0,2194459.666666666,1494142.666666667,68.09166666666665,1426810.416666667,65.025,67332.25,4.508333333333332,2900475.0,144131.5,0
165,Kansas,2015,20.0,2204743.166666666,1493864.416666667,67.76666666666668,1431795.25,64.95833333333333,62069.16666666666,4.15,2909011.0,147929.8,0
166,Kansas,2016,20.0,2213993.583333333,1491806.583333333,67.375,1431732.75,64.66666666666666,60073.83333333334,4.016666666666667,2910844.0,152511.5,0
167,Kansas,2017,20.0,2217600.833333333,1483659.916666667,66.90833333333333,1429849.083333333,64.475,53810.83333333334,3.633333333333333,2908718.0,154456.6,0
168,Kansas,2018,20.0,2222350.333333333,1483534.333333333,66.74166666666667,1434727.0,64.56666666666668,48807.33333333334,3.2833333333333328,2911359.0,158192.7,0
169,Kansas,2019,20.0,2227888.666666666,1493631.416666667,67.05,1446479.75,64.93333333333335,47151.66666666666,3.1416666666666675,2913314.0,160059.3,0
270,Nebraska,2010,31.0,1386390.083333333,992015.1666666665,71.55833333333331,945262.3333333335,68.18333333333334,46752.83333333334,4.7,1829542.0,97830.1,1
271,Nebraska,2011,31.0,1399913.916666667,1003443.6666666665,71.66666666666666,959233.1666666665,68.51666666666667,44210.5,4.4,1840672.0,102685.1,1
272,Nebraska,2012,31.0,1410901.166666667,1012943.5,71.80833333333331,973500.3333333335,69.00833333333335,39443.16666666666,3.883333333333333,1853303.0,102605.3,1
273,Nebraska,2013,31.0,1420827.916666667,1015185.0,71.45,977855.8333333335,68.825,37329.16666666666,3.675,1865279.0,103974.8,1
274,Nebraska,2014,31.0,1431323.166666667,1012567.5833333335,70.73333333333333,979639.4166666665,68.44999999999999,32928.166666666664,3.25,1879321.0,107394.4,1
275,Nebraska,2015,31.0,1440994.25,1011802.0,70.225,981459.75,68.10833333333335,30342.25,2.983333333333333,1891277.0,110752.9,1
276,Nebraska,2016,31.0,1452381.25,1016063.6666666665,69.94166666666666,984889.3333333335,67.8,31174.33333333333,3.066666666666667,1905616.0,111611.7,1
277,Nebraska,2017,31.0,1462197.166666667,1016538.75,69.525,986675.75,67.48333333333333,29863.0,2.933333333333333,1915947.0,113754.2,1
278,Nebraska,2018,31.0,1470781.333333333,1026968.1666666665,69.8,997574.75,67.83333333333333,29393.41666666667,2.858333333333333,1925614.0,115087.9,1
279,Nebraska,2019,31.0,1479047.583333333,1040467.9166666665,70.35000000000001,1009490.0,68.24166666666666,30977.91666666667,2.975,1934408.0,117395.2,1
410,South Dakota,2010,46.0,619307.3333333335,443634.75,71.62499999999999,421839.25,68.10833333333333,21795.5,4.908333333333332,816166.0,40367.3,1
411,South Dakota,2011,46.0,623837.5833333335,445800.08333333326,71.46666666666665,425327.66666666674,68.16666666666669,20472.416666666668,4.6,823579.0,42947.2,1
412,South Dakota,2012,46.0,631724.0,447123.58333333326,70.7666666666667,428999.91666666674,67.89166666666667,18123.666666666668,4.058333333333334,833566.0,43550.7,1
413,South Dakota,2013,46.0,638676.0833333335,447595.58333333326,70.07499999999999,431002.33333333326,67.49999999999999,16593.25,3.7,842316.0,43737.7,1
414,South Dakota,2014,46.0,643820.25,450719.75,70.025,435727.5,67.67499999999998,14992.25,3.333333333333334,849129.0,44449.7,1
415,South Dakota,2015,46.0,648268.0833333335,453123.83333333326,69.89166666666667,439347.08333333326,67.76666666666668,13776.75,3.0500000000000003,853988.0,45371.8,1
416,South Dakota,2016,46.0,654760.1666666665,455103.16666666674,69.50833333333334,441364.66666666674,67.425,13738.5,3.016666666666667,862996.0,45733.6,1
417,South Dakota,2017,46.0,662065.1666666665,456795.75,68.99999999999999,442630.75,66.85833333333333,14165.0,3.108333333333334,872868.0,46023.9,1
418,South Dakota,2018,46.0,667483.5833333335,458909.41666666674,68.75833333333334,445625.08333333326,66.77500000000002,13284.333333333336,2.8833333333333333,878698.0,47287.0,1
419,South Dakota,2019,46.0,674092.1666666665,463212.83333333326,68.70833333333333,449402.08333333326,66.65833333333336,13810.75,2.983333333333333,884659.0,47559.7,1
480,West Virginia,2010,54.0,1476456.666666667,809945.0833333335,54.85833333333333,740003.25,50.12499999999999,69941.83333333331,8.633333333333331,1854239.0,68474.0,1
481,West Virginia,2011,54.0,1486488.083333333,806350.25,54.25,743259.1666666665,49.99166666666667,63091.08333333334,7.825,1856301.0,69577.2,1
482,West Virginia,2012,54.0,1488021.5,808226.75,54.30833333333333,749685.5833333335,50.375,58541.16666666666,7.258333333333333,1856872.0,69335.6,1
483,West Virginia,2013,54.0,1487022.583333333,799661.1666666665,53.78333333333334,745972.25,50.15,53688.91666666666,6.716666666666668,1853914.0,70121.2,1
484,West Virginia,2014,54.0,1484923.0,795676.0833333335,53.57500000000001,743891.0,50.09166666666668,51785.08333333334,6.5,1849489.0,69720.7,1
485,West Virginia,2015,54.0,1480493.0,791617.6666666665,53.46666666666666,739529.8333333335,49.95833333333332,52087.83333333334,6.583333333333335,1842050.0,70332.7,1
486,West Virginia,2016,54.0,1474039.5,785058.5833333335,53.25833333333335,737157.8333333335,50.00833333333333,47900.75,6.091666666666666,1831023.0,69276.4,1
487,West Virginia,2017,54.0,1464847.416666667,783679.9166666665,53.49999999999999,742700.6666666665,50.69166666666666,40979.25,5.225,1817004.0,69743.2,1
488,West Virginia,2018,54.0,1456176.666666667,793416.6666666665,54.48333333333335,752094.4166666665,51.65,41322.25,5.2,1804291.0,71858.7,1
489,West Virginia,2019,54.0,1449721.083333333,798390.0833333335,55.05833333333334,759268.0,52.36666666666667,39122.083333333336,4.9,1792147.0,72340.4,1
