,FIPS_Code,State,Year,Month,Civilian_Pop,Civilian_Labor_Force,Labor_Force_Pct,Employed_Total,Employed_Pct,Unemployed_Total,Unemployed_Rate
21624,1,Alabama,2010,1,3636380,2143297,58.9,1906185,52.4,237112,11.1
21625,2,Alaska,2010,1,514628,360431,70.0,330113,64.1,30318,8.4
21626,4,Arizona,2010,1,4994110,3115797,62.4,2785351,55.8,330446,10.6
21627,5,Arkansas,2010,1,2213503,1343957,60.7,1237151,55.9,106806,7.9
21628,6,California,2010,1,28141513,18288466,65.0,15991766,56.8,2296700,12.6
21629,37,Los Angeles County,2010,1,7552749,4909952,65.0,4292621,56.8,617331,12.6
21630,8,Colorado,2010,1,3871967,2711291,70.0,2471793,63.8,239498,8.8
21631,9,Connecticut,2010,1,2757497,1892594,68.6,1712632,62.1,179962,9.5
21632,10,Delaware,2010,1,690331,430527,62.4,391523,56.7,39004,9.1
21633,11,District of Columbia,2010,1,491473,342135,69.6,306215,62.3,35920,10.5
21634,12,Florida,2010,1,14670087,9011633,61.4,8031055,54.7,980578,10.9
21635,13,Georgia,2010,1,7356794,4778162,64.9,4261834,57.9,516328,10.8
21636,15,Hawaii,2010,1,985330,634566,64.4,590573,59.9,43993,6.9
21637,16,Idaho,2010,1,1157503,762726,65.9,693074,59.9,69652,9.1
21638,17,Illinois,2010,1,9911282,6616172,66.8,5862132,59.1,754040,11.4
21639,18,Indiana,2010,1,4925217,3169128,64.3,2830634,57.5,338494,10.7
21640,19,Iowa,2010,1,2341680,1668161,71.2,1560395,66.6,107766,6.5
21641,20,Kansas,2010,1,2138455,1502302,70.3,1394052,65.2,108250,7.2
21642,21,Kentucky,2010,1,3342861,2057265,61.5,1833428,54.8,223837,10.9
21643,22,Louisiana,2010,1,3406282,2065893,60.6,1918232,56.3,147661,7.1
21644,23,Maine,2010,1,1066138,696250,65.3,635414,59.6,60836,8.7
21645,24,Maryland,2010,1,4422798,3049772,69.0,2803421,63.4,246351,8.1
21646,25,Massachusetts,2010,1,5263246,3468119,65.9,3173610,60.3,294509,8.5
21647,26,Michigan,2010,1,7777357,4785142,61.5,4153410,53.4,631732,13.2
21648,27,Minnesota,2010,1,4100422,2928681,71.4,2700412,65.9,228269,7.8
21649,28,Mississippi,2010,1,2206254,1265805,57.4,1133350,51.4,132455,10.5
21650,29,Missouri,2010,1,4628246,3042296,65.7,2748478,59.4,293818,9.7
21651,30,Montana,2010,1,770491,500111,64.9,462743,60.1,37368,7.5
21652,31,Nebraska,2010,1,1370014,987372,72.1,938545,68.5,48827,4.9
21653,32,Nevada,2010,1,2009168,1358406,67.6,1175465,58.5,182941,13.5
21654,33,New Hampshire,2010,1,1060421,738872,69.7,689553,65.0,49319,6.7
21655,34,New Jersey,2010,1,6792469,4557586,67.1,4104101,60.4,453485,10.0
21656,35,New Mexico,2010,1,1526749,924482,60.6,852812,55.9,71670,7.8
21657,36,New York,2010,1,15398444,9644070,62.6,8775340,57.0,868730,9.0
21658,51000,New York city,2010,1,6627486,3983407,60.1,3581646,54.0,401761,10.1
21659,37,North Carolina,2010,1,7164495,4610346,64.3,4094353,57.1,515993,11.2
21660,38,North Dakota,2010,1,506905,373035,73.6,358345,70.7,14690,3.9
21661,39,Ohio,2010,1,8967104,5895027,65.7,5238928,58.4,656099,11.1
21662,40,Oklahoma,2010,1,2789349,1763483,63.2,1640540,58.8,122943,7.0
21663,41,Oregon,2010,1,3026512,1969690,65.1,1756262,58.0,213428,10.8
21664,42,Pennsylvania,2010,1,9966890,6338833,63.6,5805453,58.2,533380,8.4
21665,44,Rhode Island,2010,1,843675,570682,67.6,503082,59.6,67600,11.8
21666,45,South Carolina,2010,1,3513739,2156723,61.4,1898449,54.0,258274,12.0
21667,46,South Dakota,2010,1,621730,440408,70.8,419140,67.4,21268,4.8
21668,47,Tennessee,2010,1,4894242,3050578,62.3,2730789,55.8,319789,10.5
21669,48,Texas,2010,1,18274485,12108919,66.3,11106882,60.8,1002037,8.3
21670,49,Utah,2010,1,1991747,1354098,68.0,1245935,62.6,108163,8.0
21671,50,Vermont,2010,1,508821,359006,70.6,335086,65.9,23920,6.7
21672,51,Virginia,2010,1,6043575,4139523,68.5,3823909,63.3,315614,7.6
21673,53,Washington,2010,1,5217186,3454420,66.2,3133335,60.1,321085,9.3
21674,54,West Virginia,2010,1,1455955,807671,55.5,735302,50.5,72369,9.0
21675,55,Wisconsin,2010,1,4430954,3086454,69.7,2800945,63.2,285509,9.3
21676,56,Wyoming,2010,1,420608,301350,71.6,278343,66.2,23007,7.6
21677,1,Alabama,2010,2,3637985,2145780,59.0,1909481,52.5,236299,11.0
21678,2,Alaska,2010,2,514760,360957,70.1,330579,64.2,30378,8.4
21679,4,Arizona,2010,2,4999841,3116749,62.3,2786396,55.7,330353,10.6
21680,5,Arkansas,2010,2,2214703,1345947,60.8,1239114,55.9,106833,7.9
21681,6,California,2010,2,28168472,18327194,65.1,16020128,56.9,2307066,12.6
21682,37,Los Angeles County,2010,2,7556332,4921282,65.1,4301138,56.9,620144,12.6
21683,8,Colorado,2010,2,3876247,2714852,70.0,2471124,63.8,243728,9.0
21684,9,Connecticut,2010,2,2758668,1897276,68.8,1714982,62.2,182294,9.6
21685,10,Delaware,2010,2,690834,431248,62.4,392300,56.8,38948,9.0
21686,11,District of Columbia,2010,2,492229,343633,69.8,308102,62.6,35531,10.3
21687,12,Florida,2010,2,14681071,9039135,61.6,8052755,54.9,986380,10.9
21688,13,Georgia,2010,2,7364379,4725950,64.2,4213413,57.2,512537,10.8
21689,15,Hawaii,2010,2,985714,637461,64.7,593468,60.2,43993,6.9
21690,16,Idaho,2010,2,1158417,763525,65.9,694203,59.9,69322,9.1
21691,17,Illinois,2010,2,9914870,6628765,66.9,5878039,59.3,750726,11.3
21692,18,Indiana,2010,2,4927158,3172852,64.4,2834812,57.5,338040,10.7
21693,19,Iowa,2010,2,2342488,1671781,71.4,1564951,66.8,106830,6.4
21694,20,Kansas,2010,2,2139596,1502043,70.2,1394188,65.2,107855,7.2
21695,21,Kentucky,2010,2,3344688,2060696,61.6,1838044,55.0,222652,10.8
21696,22,Louisiana,2010,2,3408339,2071784,60.8,1922452,56.4,149332,7.2
21697,23,Maine,2010,2,1066067,697409,65.4,636533,59.7,60876,8.7
21698,24,Maryland,2010,2,4426148,3057423,69.1,2810540,63.5,246883,8.1
21699,25,Massachusetts,2010,2,5266159,3473982,66.0,3180656,60.4,293326,8.4
21700,26,Michigan,2010,2,7777182,4784327,61.5,4158820,53.5,625507,13.1
21701,27,Minnesota,2010,2,4102269,2933933,71.5,2707327,66.0,226606,7.7
21702,28,Mississippi,2010,2,2206814,1268874,57.5,1135839,51.5,133035,10.5
21703,29,Missouri,2010,2,4630244,3043869,65.7,2749657,59.4,294212,9.7
21704,30,Montana,2010,2,770816,500923,65.0,463419,60.1,37504,7.5
21705,31,Nebraska,2010,2,1370817,988776,72.1,939919,68.6,48857,4.9
21706,32,Nevada,2010,2,2010225,1359771,67.6,1174541,58.4,185230,13.6
21707,33,New Hampshire,2010,2,1060683,739669,69.7,690835,65.1,48834,6.6
21708,34,New Jersey,2010,2,6795487,4563977,67.2,4111253,60.5,452724,9.9
21709,35,New Mexico,2010,2,1528209,926927,60.7,854371,55.9,72556,7.8
21710,36,New York,2010,2,15402678,9657047,62.7,8790529,57.1,866518,9.0
21711,51000,New York city,2010,2,6630146,3990358,60.2,3590594,54.2,399764,10.0
21712,37,North Carolina,2010,2,7169890,4627749,64.5,4107826,57.3,519923,11.2
21713,38,North Dakota,2010,2,507299,374693,73.9,360056,71.0,14637,3.9
21714,39,Ohio,2010,2,8967563,5902220,65.8,5248612,58.5,653608,11.1
21715,40,Oklahoma,2010,2,2791092,1765258,63.2,1643105,58.9,122153,6.9
21716,41,Oregon,2010,2,3028729,1977638,65.3,1762239,58.2,215399,10.9
21717,42,Pennsylvania,2010,2,9969289,6350528,63.7,5812330,58.3,538198,8.5
21718,44,Rhode Island,2010,2,843803,571720,67.8,503913,59.7,67807,11.9
21719,45,South Carolina,2010,2,3516497,2161383,61.5,1905694,54.2,255689,11.8
21720,46,South Dakota,2010,2,622261,441293,70.9,419724,67.5,21569,4.9
21721,47,Tennessee,2010,2,4897491,3063620,62.6,2745903,56.1,317717,10.4
21722,48,Texas,2010,2,18299762,12151988,66.4,11146453,60.9,1005535,8.3
21723,49,Utah,2010,2,1994390,1354151,67.9,1245598,62.5,108553,8.0
21724,50,Vermont,2010,2,509023,359539,70.6,335633,65.9,23906,6.6
21725,51,Virginia,2010,2,6049306,4146809,68.6,3829743,63.3,317066,7.6
21726,53,Washington,2010,2,5222744,3458632,66.2,3136999,60.1,321633,9.3
21727,54,West Virginia,2010,2,1456112,809095,55.6,736973,50.6,72122,8.9
21728,55,Wisconsin,2010,2,4432255,3089495,69.7,2806625,63.3,282870,9.2
21729,56,Wyoming,2010,2,420826,301933,71.7,278975,66.3,22958,7.6
21730,1,Alabama,2010,3,3639724,2146904,59.0,1912541,52.5,234363,10.9
21731,2,Alaska,2010,3,514896,361357,70.2,331099,64.3,30258,8.4
21732,4,Arizona,2010,3,5005603,3116147,62.3,2787165,55.7,328982,10.6
21733,5,Arkansas,2010,3,2215934,1348707,60.9,1242264,56.1,106443,7.9
21734,6,California,2010,3,28195088,18359589,65.1,16050996,56.9,2308593,12.6
21735,37,Los Angeles County,2010,3,7559970,4931091,65.2,4309620,57.0,621471,12.6
21736,8,Colorado,2010,3,3880636,2717321,70.0,2471367,63.7,245954,9.1
21737,9,Connecticut,2010,3,2759910,1902002,68.9,1718400,62.3,183602,9.7
21738,10,Delaware,2010,3,691403,432340,62.5,393640,56.9,38700,9.0
21739,11,District of Columbia,2010,3,493007,345142,70.0,310074,62.9,35068,10.2
21740,12,Florida,2010,3,14692208,9065533,61.7,8076970,55.0,988563,10.9
21741,13,Georgia,2010,3,7372287,4708859,63.9,4201580,57.0,507279,10.8
21742,15,Hawaii,2010,3,986160,640630,65.0,596671,60.5,43959,6.9
21743,16,Idaho,2010,3,1159426,763983,65.9,695240,60.0,68743,9.0
21744,17,Illinois,2010,3,9918785,6634842,66.9,5894031,59.4,740811,11.2
21745,18,Indiana,2010,3,4929346,3177346,64.5,2841624,57.6,335722,10.6
21746,19,Iowa,2010,3,2343400,1675368,71.5,1570007,67.0,105361,6.3
21747,20,Kansas,2010,3,2140798,1501694,70.1,1394805,65.2,106889,7.1
21748,21,Kentucky,2010,3,3346711,2062897,61.6,1842725,55.1,220172,10.7
21749,22,Louisiana,2010,3,3410594,2077866,60.9,1927051,56.5,150815,7.3
21750,23,Maine,2010,3,1066137,698109,65.5,637570,59.8,60539,8.7
21751,24,Maryland,2010,3,4429620,3064844,69.2,2818977,63.6,245867,8.0
21752,25,Massachusetts,2010,3,5269256,3478448,66.0,3187591,60.5,290857,8.4
21753,26,Michigan,2010,3,7777301,4783504,61.5,4165926,53.6,617578,12.9
